sku_product,product_nm,unit_weight,units_per_tray,baking_minutes
626218,PAN COLIZA CORRIENTE AMADA MASA KG, 110 , 15 , 10 
966676,PAN HALLULLA ESPECIAL TRC KG, 60 , 24 , 10 
966679,PAN HALLULLA INTEGRAL AMADA MASA KG, 100 , 15 , 10 
966668,PAN HALLULLA AMADA MASA KG, 100 , 15 , 10 
635098,PAN HALLULLA INTEGRAL LINAZA LAF KG, 60 , 15 , 10 
966675,PAN CHOCOSO TRC KG, 85 , 15 , 10 
638771,PAN CIABATTA AMADA MASA KG, 105 , 12 , 10 
605439,PAN MARRAQUETA INTEGRAL AMADA MASA KG, 200 , 8 , 10 
966669,PAN MARRAQUETA AMADA MASA KG, 200 , 8 , 10 
638770,PAN TOSCANO KG, 70 , 20 , 10 
605438,PAN DULCE LAF KG, 60 , 15 , 3 
966672,PAN HAMBURGUESA LAF KG, 90 , 15 , 3 
966671,PAN HOT DOG AMADA MASA KG, 90 , 12 , 3 
966670,PAN DOBLADA AMADA MASA KG, 80 , 20 , 12 
966674,PAN AMASADO LAF KG, 95 , 15 , 10 
640681,PAN COLIZA PERUANA HORNEADA REFR LAF KG, 100 , 15 , 5 
632861,PAN HALLULLA PLANA LAF KG, 100 , 15 , 12 
